rating_id,user_id,food_id,food_code,rating,User_ID,Food_ID
3,1,120,27445220,2,0,51
4,1,176,32105210,2,0,70
5,1,184,41311030,3,0,76
6,1,193,42401100,2,0,80
7,4,365,42403010,4,1,81
8,4,156,28340110,5,1,64
9,4,400,73105010,4,1,123
11,5,333,11511400,5,2,12
12,5,158,28340610,5,2,65
13,5,212,58156110,1,2,91
14,10,333,11511400,4,5,12
15,10,370,61210010,4,5,101
16,10,273,72307000,3,5,121
17,10,319,11320000,2,5,1
18,10,81,26319140,5,5,35
19,10,65,26307140,4,5,32
20,11,302,11111160,5,6,0
21,11,336,11513300,5,6,13
23,11,86,26319161,5,6,36
24,11,158,28340610,5,6,65
25,11,60,26213180,5,6,29
26,11,90,27150110,5,6,38
27,12,326,11350010,5,7,4
28,12,339,11513360,4,7,15
29,12,379,64101010,4,7,104
30,12,178,32105240,5,7,72
31,12,328,11350030,5,7,6
32,13,325,11350000,3,8,3
33,13,178,32105240,4,8,72
34,13,189,41812400,5,8,78
35,13,379,64101010,5,8,104
36,13,16,14710200,5,8,21
37,14,338,11513355,2,9,14
38,14,379,64101010,4,9,104
39,15,325,11350000,5,10,3
40,15,327,11350020,4,10,5
41,15,405,75200700,4,10,128
42,15,379,64101010,5,10,104
43,15,16,14710200,5,10,21
44,16,197,58150100,4,11,83
45,18,327,11350020,4,13,5
46,17,178,32105240,4,12,72
47,17,379,64101010,3,12,104
48,18,328,11350030,3,13,6
49,17,151,28310110,3,12,62
50,17,382,64104600,2,12,107
51,18,151,28310110,3,13,62
52,17,325,11350000,3,12,3
53,18,381,64104030,4,13,106
54,18,354,11513854,5,13,18
55,19,380,64104010,5,14,105
56,19,400,73105010,5,14,123
57,19,170,32103030,5,14,68
58,19,388,64133100,5,14,110
59,19,109,27350070,4,14,46
60,19,23,26109133,3,14,23
61,16,380,64104010,2,11,105
62,16,342,11513375,3,11,17
63,16,198,58150520,1,11,84
64,16,354,11513854,4,11,18
65,21,395,64201010,4,15,112
66,21,381,64104030,3,15,106
67,21,328,11350030,5,15,6
68,21,16,14710200,3,15,21
69,21,432,92550360,2,15,140
70,22,380,64104010,4,16,105
71,22,381,64104030,5,16,106
72,22,325,11350000,4,16,3
73,22,182,41221020,3,16,74
74,22,8,11432000,5,16,8
