food_id,food_code,name,category,type,calories,protein,carbs,fat,fiber,sugar,vitamin_a,vitamin_b6,vitamin_b12,vitamin_c,vitamin_d,vitamin_e
190,41812450,"Vegetarian chili, made with meat substitute",Bean,Food,107.0,7.44,13.89,2.93,4.4,2.55,19.0,0.309,0.41,4.9,0.0,1.41
193,42401100,"Yogurt, coconut milk",Yogurt,Food,64.0,0.31,7.95,3.5,0.0,7.4,57.0,0.003,0.57,0.0,0.9,0.01
197,58150100,"Bibimbap, Korean",Rice mixed dishes,Food,80.0,5.47,8.61,2.88,1.1,1.59,141.0,0.175,0.37,10.1,0.0,0.51
198,58150520,"Dukboki or Tteokbokki, Korean",Rice mixed dishes,Food,132.0,3.92,19.91,4.07,1.0,1.59,25.0,0.121,0.22,4.7,0.0,1.7
199,58151170,"Sushi roll, avocado","Egg rolls, dumplings, sushi",Food,92.0,1.81,17.71,1.47,1.4,1.21,5.0,0.048,0.0,1.7,0.0,0.23
201,58151190,"Sushi roll, eel","Egg rolls, dumplings, sushi",Food,127.0,7.1,15.3,3.71,0.7,0.92,275.0,0.036,0.78,0.9,7.2,1.27
202,58151200,"Sushi roll, salmon","Egg rolls, dumplings, sushi",Food,103.0,6.88,15.3,1.28,0.7,0.92,15.0,0.198,1.14,0.5,3.4,0.24
203,58151210,"Sushi roll, shrimp","Egg rolls, dumplings, sushi",Food,100.0,7.01,15.67,0.55,0.7,0.92,25.0,0.079,0.4,0.5,0.0,0.58
204,58151220,Sushi roll tuna,"Egg rolls, dumplings, sushi",Food,97.0,7.4,15.3,0.26,0.7,0.92,8.0,0.247,0.51,0.5,0.4,0.1
205,58151230,"Sushi roll, vegetable","Egg rolls, dumplings, sushi",Food,92.0,1.81,17.71,1.47,1.4,1.21,5.0,0.048,0.0,1.7,0.0,0.23
212,58156110,"Fried rice, Puerto Rican style",Rice mixed dishes,Food,119.0,12.78,8.53,3.33,0.6,0.87,28.0,0.235,0.5,11.4,0.4,0.52
214,58160000,Biryani with vegetables,Rice mixed dishes,Food,108.0,1.93,17.88,3.16,1.2,1.16,61.0,0.071,0.01,4.1,0.0,0.2
218,58162310,Rice pilaf,Rice mixed dishes,Food,136.0,3.29,24.08,3.03,0.4,0.48,1.0,0.12,0.01,1.0,0.0,0.32
219,58163130,Dirty rice,Rice mixed dishes,Food,112.0,5.13,17.28,2.25,0.6,0.87,208.0,0.105,1.07,4.9,0.0,0.29
224,58163420,"Spanish rice, no added fat",Rice mixed dishes,Food,101.0,2.92,19.92,1.01,1.2,1.57,10.0,0.107,0.03,10.0,0.0,0.29
228,58164210,Rice dessert or salad with fruit,Rice mixed dishes,Food,151.0,1.6,20.67,7.3,0.8,10.7,83.0,0.082,0.03,21.6,0.3,0.2
237,58200250,"Wrap sandwich, filled with vegetables",Sandwiches,Food,123.0,3.2,13.96,6.35,1.7,3.05,132.0,0.098,0.03,16.6,0.0,0.33
238,58404500,Matzo ball soup,Soups,Food,60.0,2.61,7.74,2.05,0.5,0.91,47.0,0.037,0.09,1.8,0.2,0.27
251,71601040,"Potato salad with egg, made with Italian dressing",Potatoes,Food,113.0,2.81,15.8,4.42,1.3,2.41,19.0,0.212,0.14,5.3,0.3,0.46
